angry,dates,haha,like,love,messages,sad,wow,url
2,2017-10-06T21:45:00+0000,32,312,6,Boricuas le piden al vicepresidente de Estados Unidos que vayan a las zonas más afectadas https://buff.ly/2xmWXLZ,4,9,https://buff.ly/2xmWXLZ
0,2017-10-06T21:30:00+0000,0,7,0,"#FUNDEU: Bulevar, mejor que boulevard https://buff.ly/2fYHIBj",0,1,https://buff.ly/2fYHIBj
2,2017-10-06T21:15:00+0000,0,15,2,"Deuda Sector Público No Financiero creció US$2,179 millones en 8 meses https://buff.ly/2fYxKjx",0,0,https://buff.ly/2fYxKjx
0,2017-10-06T21:00:00+0000,0,26,0,"En #GastroClubDL: Gastritis, ¿existe realmente una dieta? https://buff.ly/2xnSL9C",0,0,https://buff.ly/2xnSL9C
0,2017-10-06T21:00:00+0000,0,10,0,"Mercado de Valores espera cerrar 2017 con US$50,000 millones transados https://buff.ly/2fVXYD6",0,0,https://buff.ly/2fVXYD6
0,2017-10-06T20:45:00+0000,0,126,8,La isla colombiana de San Andrés siembra corales para restaurar sus arrecifes https://buff.ly/2yuewJZ,0,3,https://buff.ly/2yuewJZ
0,2017-10-06T20:30:00+0000,9,206,8,Dominicano crea una plataforma que predice brotes de zika https://buff.ly/2xnH2Ie,0,13,https://buff.ly/2xnH2Ie
0,2017-10-06T20:22:56+0000,1,22,0,En #EstilosRD: ¿Podemos confiar en el reconocimiento facial como sistema de seguridad? https://buff.ly/2hTUQbq,1,0,https://buff.ly/2hTUQbq
3,2017-10-06T20:15:00+0000,11,702,43,Pro Consumidor inicia proceso sancionador contra la aerolínea JetBlue https://buff.ly/2y0jT0t,1,83,https://buff.ly/2y0jT0t
0,2017-10-06T20:00:00+0000,0,38,0,Envejecientes denuncian exclusión programa Progresando con Solidaridad https://buff.ly/2hSHyfm,8,2,https://buff.ly/2hSHyfm
5,2017-10-06T19:47:26+0000,40,1014,58,Guillermo Moreno dice caso “Quirinito” evidencia la podredumbre de la justicia dominicana https://buff.ly/2hTQbGs,10,9,https://buff.ly/2hTQbGs
0,2017-10-06T19:45:00+0000,14,362,19,Fefita La Grande cerrará el DR Jazz Festival en Puerto Plata https://buff.ly/2fQQePf,0,4,https://buff.ly/2fQQePf
18,2017-10-06T19:30:00+0000,5,220,1,Los seis imputados por estafa a estudiantes tienen cargos en la UASD https://buff.ly/2fRpxJX,1,16,https://buff.ly/2fRpxJX
0,2017-10-06T19:15:00+0000,0,43,0,Organizarán primera Olimpiada de Lecto-Escritura del Plan de Alfabetización https://buff.ly/2xnjhQM,0,0,https://buff.ly/2xnjhQM
